Nome,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-07,2022-09-07.1,2022-09-07.2,2022-09-07.3,2022-09-07.4,2022-09-07.5,2022-09-07.6,2022-09-07.7,2022-09-07.8,2022-09-07.9,2022-09-07.10,2022-09-07.11,2022-09-07.12,2022-09-07.13,2022-09-07.14,2022-09-07.15,2022-09-07.16,2022-09-07.17,2022-09-07.18,2022-09-07.19,2022-09-07.20,2022-09-07.21,2022-09-07.22,2022-09-07.23,2022-09-07.24,2022-09-08,2022-09-08.1,2022-09-08.2,2022-09-08.3,2022-09-08.4,2022-09-08.5,2022-09-08.6,2022-09-08.7,2022-09-08.8,2022-09-08.9,2022-09-08.10,2022-09-08.11,2022-09-08.12,2022-09-08.13,2022-09-08.14,2022-09-08.15,2022-09-08.16,2022-09-08.17,2022-09-08.18,2022-09-08.19,2022-09-08.20,2022-09-08.21,2022-09-08.22,2022-09-09,2022-09-09.1,2022-09-09.2,2022-09-09.3,2022-09-09.4,2022-09-09.5,2022-09-09.6,2022-09-09.7,2022-09-09.8,2022-09-09.9,2022-09-09.10,2022-09-09.11,2022-09-09.12,2022-09-09.13,2022-09-09.14,2022-09-09.15,2022-09-09.16,2022-09-09.17,2022-09-09.18,2022-09-09.19,2022-09-09.20,2022-09-09.21,2022-09-09.22,2022-09-09
simonetebetbr,50.0,48.48,50.0,49.12,48.39,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.00
cirogomes,50.0,49.38,49.64,49.61,49.61,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67,49.67
LulaOficial,50.0,50.0,49.55,49.37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38,49.38
jairbolsonaro,50.0,48.72,48.84,49.12,49.02,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,49.09,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18
